SEA Analysis Data Result,,,,,,,,,,,,,,,,,,,,,,,,,,,
File:,16 01 2026 14-38-03.accdb,,,,,,,,,,,,,,,,,,,,,,,,,,
Method:,SUGAR SURFACE ENERGY 16JAN2026,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample:,Sugar Fines 0.5m^2,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Mass (mg):,1037.31,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Free Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,
n/nm,Solvent Name,Unit,En. (Stz Max),En. (Stz Com),En. (Pol Max),En. (Pol Com),Interpolated Retention Volume (Max),Interpolated Retention Volume (Com),Column Temperature [Kelvin],,,,,,,,,,,,,,,,,,
0.005,DECANE,dG (kJ/Mol),,,,,43.88287465,53.66911195,303.1484249,,,,,,,,,,,,,,,,,,
0.005,NONANE,dG (kJ/Mol),,,,,13.90574298,17.30099159,303.1520919,,,,,,,,,,,,,,,,,,
0.005,OCTANE,dG (kJ/Mol),,,,,4.407461488,5.334290951,303.1481995,,,,,,,,,,,,,,,,,,
0.005,HEPTANE,dG (kJ/Mol),,,,,1.432116841,1.716903144,303.1496424,,,,,,,,,,,,,,,,,,
0.005,ETHYL ACETATE,dG (kJ/Mol),12.54293639,13.11273326,11.11902954,11.67671771,5.600265882,8.212279646,303.1517169,,,,,,,,,,,,,,,,,,
0.005,DICHLOROMETHANE,dG (kJ/Mol),6.490990523,7.779732575,6.667624804,7.956349544,0.226916324,0.439832765,303.148953,,,,,,,,,,,,,,,,,,
0.005,ACETONE,dG (kJ/Mol),10.13960191,11.37133149,11.81121108,13.05450797,1.665867074,3.17018076,303.1421286,,,,,,,,,,,,,,,,,,
0.005,ACETONITRILE,dG (kJ/Mol),11.80665814,14.73861771,14.49506403,17.44619893,1.394449229,5.175680007,303.1494926,,,,,,,,,,,,,,,,,,
0.005,ETHANOL,dG (kJ/Mol),13.00708201,14.00209362,18.68372631,19.72118738,11.32930293,19.7459708,303.1491944,,,,,,,,,,,,,,,,,,
0.01,DECANE,dG (kJ/Mol),,,,,38.45898505,49.09900836,303.1484249,,,,,,,,,,,,,,,,,,
0.01,NONANE,dG (kJ/Mol),,,,,12.39859049,15.65337392,303.1520919,,,,,,,,,,,,,,,,,,
0.01,OCTANE,dG (kJ/Mol),,,,,4.035188595,5.028230485,303.1481995,,,,,,,,,,,,,,,,,,
0.01,HEPTANE,dG (kJ/Mol),,,,,1.319404793,1.630277489,303.1496424,,,,,,,,,,,,,,,,,,
0.01,ETHYL ACETATE,dG (kJ/Mol),12.08032908,12.83879897,10.67952898,11.4238928,4.561569062,7.344507828,303.1517169,,,,,,,,,,,,,,,,,,
0.01,DICHLOROMETHANE,dG (kJ/Mol),6.39124294,7.714827591,6.566419866,7.891441906,0.216133919,0.432050984,303.148953,,,,,,,,,,,,,,,,,,
0.01,ACETONE,dG (kJ/Mol),9.932522996,11.18682071,11.57946125,12.8497744,1.507716919,2.947898186,303.1421286,,,,,,,,,,,,,,,,,,
0.01,ACETONITRILE,dG (kJ/Mol),11.43124767,14.22128328,14.0794456,16.89535605,1.196027016,4.265639833,303.1494926,,,,,,,,,,,,,,,,,,
0.01,ETHANOL,dG (kJ/Mol),12.57680498,13.63418876,18.16673121,19.27915354,9.27187765,16.89374525,303.1491944,,,,,,,,,,,,,,,,,,
0.025,DECANE,dG (kJ/Mol),,,,,32.4708908,43.11166508,303.1484249,,,,,,,,,,,,,,,,,,
0.025,NONANE,dG (kJ/Mol),,,,,10.66222486,13.60529113,303.1520919,,,,,,,,,,,,,,,,,,
0.025,OCTANE,dG (kJ/Mol),,,,,3.565155045,4.485319848,303.1481995,,,,,,,,,,,,,,,,,,
0.025,HEPTANE,dG (kJ/Mol),,,,,1.202342297,1.512409062,303.1496424,,,,,,,,,,,,,,,,,,
0.025,ETHYL ACETATE,dG (kJ/Mol),10.89958908,12.16822226,9.530533437,10.77660003,2.812830269,5.483590684,303.1517169,,,,,,,,,,,,,,,,,,
0.025,DICHLOROMETHANE,dG (kJ/Mol),5.703323287,7.346276111,5.874317394,7.519317197,0.165006286,0.368561799,303.148953,,,,,,,,,,,,,,,,,,
0.025,ACETONE,dG (kJ/Mol),9.003361081,10.59544494,10.61260575,12.2298707,1.033266453,2.281050466,303.1421286,,,,,,,,,,,,,,,,,,
0.025,ACETONITRILE,dG (kJ/Mol),10.57960091,13.20161285,13.16726943,15.83006267,0.861316984,2.824200909,303.1494926,,,,,,,,,,,,,,,,,,
0.025,ETHANOL,dG (kJ/Mol),11.48599123,12.86078992,16.94842393,18.41030415,5.856306512,12.00434967,303.1491944,,,,,,,,,,,,,,,,,,
0.05,DECANE,dG (kJ/Mol),,,,,29.1592043,39.57405319,303.1484249,,,,,,,,,,,,,,,,,,
0.05,NONANE,dG (kJ/Mol),,,,,9.654986285,12.56517541,303.1520919,,,,,,,,,,,,,,,,,,
0.05,OCTANE,dG (kJ/Mol),,,,,3.28923205,4.191277121,303.1481995,,,,,,,,,,,,,,,,,,
0.05,HEPTANE,dG (kJ/Mol),,,,,1.132481788,1.442484546,303.1496424,,,,,,,,,,,,,,,,,,
0.05,ETHYL ACETATE,dG (kJ/Mol),9.827437899,11.49577912,8.478495118,10.11949224,1.817335773,4.152359741,303.1517169,,,,,,,,,,,,,,,,,,
0.05,DICHLOROMETHANE,dG (kJ/Mol),5.681119649,7.056475686,5.849527587,7.227039609,0.16355106,0.327743129,303.148953,,,,,,,,,,,,,,,,,,
0.05,ACETONE,dG (kJ/Mol),8.196115314,9.781909206,9.781589385,11.39733013,0.744280985,1.637921089,303.1421286,,,,,,,,,,,,,,,,,,
0.05,ACETONITRILE,dG (kJ/Mol),10.02891724,12.62301863,12.57839044,15.22111983,0.695123603,2.246811897,303.1494926,,,,,,,,,,,,,,,,,,
0.05,ETHANOL,dG (kJ/Mol),10.58350412,12.3276698,15.96540398,17.81384369,4.017398343,9.551581231,303.1491944,,,,,,,,,,,,,,,,,,
0.1,DECANE,dG (kJ/Mol),,,,,25.73110756,34.49083886,303.1484249,,,,,,,,,,,,,,,,,,
0.1,NONANE,dG (kJ/Mol),,,,,8.586737094,11.11825102,303.1520919,,,,,,,,,,,,,,,,,,
0.1,OCTANE,dG (kJ/Mol),,,,,2.958341545,3.700083441,303.1481995,,,,,,,,,,,,,,,,,,
0.1,HEPTANE,dG (kJ/Mol),,,,,1.050316347,1.351914016,303.1496424,,,,,,,,,,,,,,,,,,
0.1,ETHYL ACETATE,dG (kJ/Mol),8.68460474,10.6578578,7.354635818,9.305017164,1.11892642,2.938523047,303.1517169,,,,,,,,,,,,,,,,,,
0.1,DICHLOROMETHANE,dG (kJ/Mol),5.676795328,6.894477021,5.841525526,7.057762445,0.159982554,0.307849249,303.148953,,,,,,,,,,,,,,,,,,
0.1,ACETONE,dG (kJ/Mol),7.323880517,9.372650602,8.884772635,10.95293101,0.512029246,1.380632308,303.1421286,,,,,,,,,,,,,,,,,,
0.1,ACETONITRILE,dG (kJ/Mol),9.75096195,11.69908584,12.26139902,14.24231637,0.612511298,1.568407668,303.1494926,,,,,,,,,,,,,,,,,,
0.1,ETHANOL,dG (kJ/Mol),9.71265836,11.58157578,15.01384054,16.95752665,2.735362037,6.942607654,303.1491944,,,,,,,,,,,,,,,,,,
0.14,DECANE,dG (kJ/Mol),,,,,23.2812699,32.85478215,303.1484249,,,,,,,,,,,,,,,,,,
0.14,NONANE,dG (kJ/Mol),,,,,8.03017657,11.38974928,303.1520919,,,,,,,,,,,,,,,,,,
0.14,OCTANE,dG (kJ/Mol),,,,,2.769467552,3.612387121,303.1481995,,,,,,,,,,,,,,,,,,
0.14,HEPTANE,dG (kJ/Mol),,,,,0.986800669,1.316935994,303.1496424,,,,,,,,,,,,,,,,,,
0.14,ETHYL ACETATE,dG (kJ/Mol),8.139062981,10.5665228,6.822996471,9.212942677,0.882548114,2.802567017,303.1517169,,,,,,,,,,,,,,,,,,
0.14,DICHLOROMETHANE,dG (kJ/Mol),5.543117702,6.951109518,5.705717586,7.11055311,0.149781108,0.311713265,303.148953,,,,,,,,,,,,,,,,,,
0.14,ACETONE,dG (kJ/Mol),6.988783919,8.919968341,8.532648098,10.49426191,0.44015967,1.141302824,303.1421286,,,,,,,,,,,,,,,,,,
0.14,ACETONITRILE,dG (kJ/Mol),9.762944442,11.26138398,12.24614863,13.79646664,0.609347812,1.305813849,303.1494926,,,,,,,,,,,,,,,,,,
